Open_time,Open,High,Low,Close,Volume,Spread,MA7,MA21,Lag_1,Lag_2,Lag_3,Target_3d,Daily_Return,Volatility_7d,RSI
2023-07-25,29176.5,29376.0,29047.65,29228.91,21565.7478,328.34999999999854,29699.155714285713,30132.519999999997,29176.5,30083.75,29794.0,29314.14,0.1796308673075897,1.2820890580404645,34.62116713065478
2023-07-26,29228.91,29690.0,29096.94,29351.96,33931.63366,593.0600000000013,29619.54857142857,30077.622380952384,29228.91,29176.5,30083.75,29352.9,0.42098730332400525,1.3008303814378697,38.34559190299555
2023-07-27,29351.95,29567.49,29083.85,29222.78,22476.47626,483.64000000000306,29537.088571428572,30045.591428571424,29351.96,29228.91,29176.5,29281.09,-0.4401068957575638,1.302139068896867,17.804511364980755
2023-07-28,29222.78,29542.22,29123.12,29314.14,23993.61627,419.1000000000022,29453.148571428574,29996.51714285714,29222.78,29351.96,29228.91,29232.25,0.3126328159059444,1.2999298313175656,29.33682872182257
2023-07-29,29314.14,29406.92,29256.18,29352.9,10851.36844,150.73999999999796,29390.134285714284,29952.14904761905,29314.14,29222.78,29351.96,29705.99,0.13222287947045608,1.307897388528746,30.73496017902984
2023-07-30,29352.9,29449.0,29033.24,29281.09,15706.97441,415.7599999999984,29275.46857142857,29910.262380952376,29352.9,29314.14,29222.78,29186.01,-0.24464362976061027,1.2018025679289008,30.55546467306843
2023-07-31,29281.09,29530.0,29101.8,29232.25,22605.48964,428.2000000000007,29283.432857142856,29854.104285714282,29281.09,29352.9,29314.14,29193.64,-0.16679706937139382,0.3164156252974396,31.1302869571377
2023-08-01,29232.26,29739.25,28585.7,29705.99,44719.65162,1153.5499999999993,29351.58714285714,29810.480000000003,29232.25,29281.09,29352.9,29113.99,1.620607377126304,0.6853639815875915,47.04918917252437
2023-08-02,29705.99,30047.5,28927.5,29186.01,48181.65141,1120.0,29327.88,29753.623333333333,29705.99,29232.25,29281.09,29072.13,-1.750421379661149,1.0038103651148753,38.2014369710061
2023-08-03,29186.0,29433.33,28968.0,29193.64,26476.91994,465.33000000000175,29323.717142857146,29645.97619047619,29186.01,29705.99,29232.25,29088.42,0.026142662186434684,0.9910613431281136,39.76849352051839
2023-08-04,29193.65,29333.08,28807.54,29113.99,23551.95217,525.5400000000009,29295.124285714286,29588.92761904762,29193.64,29186.01,29705.99,29211.06,-0.2728333979592712,0.9839711085635163,36.60837841237896
2023-08-05,29114.0,29152.23,28978.64,29072.13,11645.52018,173.59000000000015,29255.014285714286,29530.956666666665,29113.99,29193.64,29186.01,29770.42,-0.14377967430778682,0.9789274051088611,37.44691802856781
2023-08-06,29072.13,29205.09,28991.88,29088.42,13178.1972,213.20999999999913,29227.489999999998,29476.500952380953,29072.13,29113.99,29193.64,29581.99,0.05603304608226001,0.9798137121287507,30.87235424569819
2023-08-07,29088.43,29276.78,28701.03,29211.06,30966.87746,575.75,29224.462857142855,29432.360952380957,29088.42,29072.13,29113.99,29455.75,0.4216110740975276,0.9972272585959587,50.95091349328641
